url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,places
http://www.goodreads.com/book/show/536982.The_Never_War,The Never War,D.J. MacHale,551,29249,4.13,352.0,2003,True,"['Fantasy', 'Young Adult', 'Fiction']",0,[]
http://www.goodreads.com/book/show/187065.New_Spring,New Spring,Robert Jordan,2080,87787,4.03,423.0,2004,True,"['Fantasy', 'Fiction', 'Fantasy']",0,['Tar Valon']
http://www.goodreads.com/book/show/3465.Three_Weeks_With_My_Brother,Three Weeks With My Brother,Nicholas Sparks,3099,43761,4.01,368.0,2004,False,"['Nonfiction', 'Autobiography', 'Memoir']",0,"['Sacramento, California']"
http://www.goodreads.com/book/show/902715.Before_They_Are_Hanged,Before They Are Hanged,Joe Abercrombie,5122,132023,4.29,441.0,2007,True,"['Fantasy', 'Fiction', 'Fantasy']",0,[]
http://www.goodreads.com/book/show/1039041.The_Book_With_No_Name,The Book With No Name,Anonymous,539,5998,3.84,379.0,2006,True,"['Fantasy', 'Thriller', 'Horror']",0,[]
http://www.goodreads.com/book/show/32254.The_Mephisto_Club,The Mephisto Club,Tess Gerritsen,1820,44362,4.02,355.0,2006,True,"['Mystery', 'Mystery', 'Crime']",0,"['Boston, Massachusetts']"
http://www.goodreads.com/book/show/6578507-the-postmistress,The Postmistress,Sarah Blake,5666,43634,3.36,11.0,2009,False,"['Historical', 'Historical Fiction', 'Fiction']",1,[]
http://www.goodreads.com/book/show/6587879-horns,Horns,Joe Hill,8862,106612,3.93,370.0,2009,False,"['Horror', 'Fiction', 'Fantasy']",3,"['Gideon, New Hampshire']"
http://www.goodreads.com/book/show/270807.Burned,Burned,Ellen Hopkins,3877,59388,4.25,431.0,2006,True,"['Young Adult', 'Poetry', 'Fiction']",0,['Nevada']
http://www.goodreads.com/book/show/94672.Beneath_a_Marble_Sky,Beneath a Marble Sky,John Shors,1818,14179,4.01,344.0,2004,False,"['Historical', 'Historical Fiction', 'Fiction']",0,['India']
http://www.goodreads.com/book/show/3754016-shadow-s-edge,Shadow's Edge,Brent Weeks,2119,98625,4.23,636.0,2008,True,"['Fantasy', 'Fiction', 'Fantasy']",0,['Midcyru']
http://www.goodreads.com/book/show/7058.The_Good_Husband_of_Zebra_Drive,The Good Husband of Zebra Drive,Alexander McCall Smith,1290,24407,4.07,213.0,2007,True,"['Mystery', 'Fiction', 'Cultural']",0,"['Gaborone', 'Mochudi']"
http://www.goodreads.com/book/show/5726135-view-points-and-points-of-view,View Points and Points of View: A 'Phoetry Book' from Cornwall,Clive Blake,9,40,4.05,112.0,2009,False,[],0,[]
http://www.goodreads.com/book/show/6423085-catapult-soul,Catapult Soul,Brian Celio,11,43,3.95,600.0,2009,False,"['Cultural', 'Counter Culture', 'Fiction']",0,[]
http://www.goodreads.com/book/show/6344832-grave-secret,Grave Secret,Charlaine Harris,1604,28314,3.96,320.0,2009,True,"['Mystery', 'Fantasy', 'Paranormal']",0,['Texas']
http://www.goodreads.com/book/show/4929705-a-reliable-wife,A Reliable Wife,Robert Goolrick,10095,79462,3.29,291.0,2009,False,"['Fiction', 'Historical', 'Historical Fiction']",2,"['Wisconsin', 'St. Louis, Missouri']"
http://www.goodreads.com/book/show/854757.Bet_Me,Bet Me,Jennifer Crusie,3920,89704,3.93,432.0,2004,False,"['Romance', 'Womens Fiction', 'Chick Lit']",3,"['The United States of America', 'Ohio']"
http://www.goodreads.com/book/show/1232140.The_Serpent_s_Tale,The Serpent's Tale,Ariana Franklin,1137,12217,3.96,371.0,2008,True,"['Historical', 'Historical Fiction', 'Mystery']",0,"['Oxford, England']"
http://www.goodreads.com/book/show/1811543.Magic_Burns,Magic Burns,Ilona Andrews,3874,80144,4.30,261.0,2008,True,"['Fantasy', 'Urban Fantasy', 'Fantasy']",1,"['Atlanta, Georgia']"
http://www.goodreads.com/book/show/80063.Divisadero,Divisadero,Michael Ondaatje,1579,10916,3.51,273.0,2007,False,"['Fiction', 'Cultural', 'Canada']",2,"['California', 'France']"
http://www.goodreads.com/book/show/17274667-metro-2033,Metro 2033,Dmitry Glukhovsky,3133,48960,4.00,458.0,2002,True,"['Science Fiction', 'Fiction', 'Horror']",1,"['Moscow', 'Moscow']"
http://www.goodreads.com/book/show/72148.Restless,Restless,William  Boyd,1478,17626,3.91,336.0,2006,False,"['Fiction', 'Historical', 'Historical Fiction']",1,[]
http://www.goodreads.com/book/show/89788.The_Lady_and_the_Unicorn,The Lady and the Unicorn,Tracy Chevalier,2095,43607,3.70,250.0,2003,False,"['Historical', 'Historical Fiction', 'Fiction']",0,"['France', 'Paris', 'Brussels', '…more', 'Belgium', '…less']"
http://www.goodreads.com/book/show/30189.Cast_in_Courtlight,Cast in Courtlight,Michelle Sagara,365,10326,4.12,488.0,2006,True,"['Fantasy', 'Fantasy', 'Magic']",0,[]
http://www.goodreads.com/book/show/714902.Noughts_Crosses,Noughts & Crosses,Malorie Blackman,4320,58006,4.22,479.0,2001,True,"['Young Adult', 'Romance', 'Fiction']",6,[]
http://www.goodreads.com/book/show/6469165-what-alice-forgot,What Alice Forgot,Liane Moriarty,27352,392815,4.07,476.0,2009,False,"['Fiction', 'Womens Fiction', 'Chick Lit']",0,"['Australia', 'Sydney, New South Wales']"
http://www.goodreads.com/book/show/2866413-the-dragon-heir,The Dragon Heir,Cinda Williams Chima,1206,35319,4.14,499.0,2008,True,"['Fantasy', 'Young Adult', 'Fantasy']",0,"['Trinity, Ohio']"
http://www.goodreads.com/book/show/5345.The_Innocent_Man,The Innocent Man: Murder and Injustice in a Small Town,John Grisham,5271,71779,3.84,360.0,2006,False,"['Nonfiction', 'Crime', 'True Crime']",0,"['The United States of America', 'Oklahoma']"
http://www.goodreads.com/book/show/1491906.Gang_Leader_for_a_Day,Gang Leader for a Day: A Rogue Sociologist Takes to the Streets,Sudhir Venkatesh,1864,22041,4.06,302.0,2008,False,"['Nonfiction', 'Sociology', 'Autobiography']",0,"['Chicago, Illinois']"
http://www.goodreads.com/book/show/34262.Peter_and_the_Starcatchers,Peter and the Starcatchers,Dave Barry,4997,74236,4.03,452.0,2004,True,"['Fantasy', 'Young Adult', 'Fiction']",6,[]
http://www.goodreads.com/book/show/409918.The_Narrows,The Narrows,Michael Connelly,1905,50584,4.14,436.0,2004,True,"['Mystery', 'Fiction', 'Mystery']",0,"['Los Angeles, California', 'Las Vegas, Nevada']"
http://www.goodreads.com/book/show/333953.The_Tenth_City,The Tenth City,Patrick Carman,246,9052,3.98,186.0,2006,True,"['Fantasy', 'Fiction', 'Young Adult']",0,[]
http://www.goodreads.com/book/show/2039223.Winter_Study,Winter Study,Nevada Barr,812,8423,3.86,370.0,2008,True,"['Mystery', 'Fiction', 'Thriller']",0,"['The United States of America', 'Michigan']"
http://www.goodreads.com/book/show/6581511-shadowland,Shadowland,Alyson Noel,2585,81476,3.66,339.0,2009,True,"['Young Adult', 'Fantasy', 'Fantasy']",2,"['Laguna Beach, California']"
http://www.goodreads.com/book/show/351652.Every_Secret_Thing,Every Secret Thing,Laura Lippman,962,10554,3.47,410.0,2003,False,"['Mystery', 'Fiction', 'Thriller']",3,"['Baltimore, Maryland']"
http://www.goodreads.com/book/show/66717.I_Lucifer,"I, Lucifer",Glen Duncan,931,8964,3.61,272.0,2002,False,"['Fiction', 'Fantasy', 'Humor']",0,"['London, England']"
http://www.goodreads.com/book/show/215542.The_Rivers_of_Zadaa,The Rivers of Zadaa,D.J. MacHale,365,23612,4.20,405.0,2005,True,"['Fantasy', 'Young Adult', 'Fiction']",0,[]
http://www.goodreads.com/book/show/9572203-the-snowman,The Snowman,Jo Nesbø,8974,125374,4.01,383.0,2007,True,"['Mystery', 'Mystery', 'Crime']",1,"['Oslo', 'Bergen']"
http://www.goodreads.com/book/show/30262.The_Good_the_Bad_and_the_Undead,"The Good, the Bad, and the Undead",Kim Harrison,1994,64648,4.23,453.0,2005,True,"['Fantasy', 'Urban Fantasy', 'Fantasy']",0,"['Cincinnati, Ohio', 'Ohio']"
http://www.goodreads.com/book/show/18997.Absolute_Friends,Absolute Friends,John le Carré,580,7063,3.66,464.0,2003,False,"['Fiction', 'Thriller', 'Spy Thriller']",0,[]
http://www.goodreads.com/book/show/627984.Stone_Cold,Stone Cold,David Baldacci,1789,43912,4.13,388.0,2007,True,"['Fiction', 'Thriller', 'Mystery']",0,"['Washington, D.C.', 'Atlantic City, New Jersey']"
http://www.goodreads.com/book/show/2253484.Shadow_Country,Shadow Country,Peter Matthiessen,731,4787,4.05,892.0,2008,True,"['Fiction', 'Historical', 'Historical Fiction']",2,[]
